,iprofile,bodemcode,areaal,ihoofd,isoil1,iz1,isoil2,iz2,isoil3,iz3,isoil4,iz4,isoil5,iz5,isoil6,iz6,isoil7,iz7,isoil8,iz8,isoil9,iz9
54,2081,Wgl,8238.38506,2,17,20,36,30,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
55,2090,Wol,8404.090404,2,17,15,36,30,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
56,2110,kWz,8214.711831,2,9,18,29,30,36,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
57,2115,kWz,852.3944047,2,9,10,28,30,36,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
58,2120,zWz,13403.05834,2,2,20,36,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
59,2121,zWzx,895.7446333,2,2,20,36,40,21,55,20,90,24,120,0,99999,0,99999,0,99999,0,99999
60,2125,zWz,1130.075381,2,2,25,36,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
61,2130,vWz,24566.82778,2,15,20,36,30,25,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
62,2131,vWzg,936.6263981,2,15,20,36,30,25,40,20,90,23,120,0,99999,0,99999,0,99999,0,99999
63,2140,vWzx,2381.047636,2,15,20,36,30,25,40,20,80,24,120,0,99999,0,99999,0,99999,0,99999
64,2150,fvWz,1409.242986,2,15,20,36,30,25,45,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
65,2151,fvWzt,1127.7966,2,15,20,36,30,25,45,19,90,25,120,0,99999,0,99999,0,99999,0,99999
66,2160,iWz,13958.31867,2,15,20,36,35,21,50,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
67,9013010,Y21,1240.635311,3,2,25,20,40,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
68,9023010,Y21,6011.084394,3,2,12,20,35,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
69,3011,Y21g,2259.874786,3,2,12,20,35,20,70,20,100,23,120,0,99999,0,99999,0,99999,0,99999
70,9013020,Y23,3868.69045,3,3,25,21,40,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
71,9023020,Y23,2006.88008,3,3,13,21,35,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
72,3030,gY30,36180.7962,3,5,15,23,35,23,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
73,3040,cY21,2648.83107,3,2,25,2,40,20,60,19,80,19,120,0,99999,0,99999,0,99999,0,99999
74,3050,cY23,3627.625818,3,3,25,3,40,21,50,21,75,20,120,0,99999,0,99999,0,99999,0,99999
75,3060,cY23x,2290.854985,3,3,25,3,40,21,50,21,75,21,100,24,120,0,99999,0,99999,0,99999
76,3070,gcY30,2520.460003,3,5,25,5,40,23,55,23,80,23,120,0,99999,0,99999,0,99999,0,99999
77,9014010,Hn21,77748.25189,3,2,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
78,9034010,Hn21,57354.25644,3,2,15,19,25,19,40,19,60,19,120,0,99999,0,99999,0,99999,0,99999
79,9024010,Hn21,186782.5653,3,2,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
80,4015,uHn21,517.356693,3,3,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
81,9024020,Hn21g,5957.100738,3,2,8,19,15,19,30,19,55,19,90,23,120,0,99999,0,99999,0,99999
82,9014020,Hn21g,20659.89781,3,2,25,19,35,19,55,19,90,23,120,0,99999,0,99999,0,99999,0,99999
83,4030,Hn21x,20098.02302,3,2,20,20,40,20,55,20,90,24,120,0,99999,0,99999,0,99999,0,99999
